match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
171,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-0,0
172,home,Tomáš Vaclík,G,90,0,0,0,0,28,0,14,6,0,0,0,1,0,0,0,0,0,won,2-1,7.6
172,home,David Zima,D,90,0,0,0,0,30,0,24,0,0,0,0,0,2,2,0,0,0,won,2-1,6.6
172,home,Jakub Brabec,D,90,0,0,0,0,23,0,17,0,1,0,1,0,7,3,0,0,1,won,2-1,6.2
172,home,Ladislav Krejčí II,D,90,0,0,0,0,42,0,34,0,1,0,3,0,7,6,0,0,1,won,2-1,6.9
172,home,Vladimír Coufal,M,90,1,0,0,0,40,1,27,0,0,0,1,0,3,2,0,0,0,won,2-1,7.3
172,home,Tomáš Souček,M,90,0,0,0,0,38,0,24,0,2,0,3,0,9,5,0,0,0,won,2-1,7.2
172,home,Michal Sadílek,M,84,0,0,0,0,38,2,26,0,1,0,4,0,6,5,0,0,0,won,2-1,7.3
172,home,Jaroslav Zelený,M,87,0,0,0,0,19,1,15,0,1,0,3,0,9,5,2,1,0,won,2-1,6.9
172,home,Jakub Jankto,F,67,3,2,0,0,13,0,6,0,1,0,0,0,4,2,0,0,0,won,2-1,6.9
172,home,Jan Kuchta,F,68,1,1,1,0,18,1,13,0,2,1,0,0,12,7,2,2,0,won,2-1,7.9
172,home,Adam Hložek,F,87,2,0,0,0,14,1,10,0,0,1,0,0,9,5,1,0,0,won,2-1,6.3
172,home,Aleš Matějů,D,11,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,won,2-1,6.7
172,home,Ondrej Lingr,M,23,1,0,0,0,8,0,6,0,0,0,0,0,5,0,1,0,0,won,2-1,6.2
172,home,Lukáš Kalvach,M,14,0,0,0,0,7,0,6,0,0,0,0,0,1,1,1,1,0,won,2-1,6.6
172,home,Jakub Pešek,M,22,0,0,0,0,8,0,3,0,2,0,0,0,4,2,0,0,0,won,2-1,6.7
172,home,Vaclav Jurecka,M,11,0,0,0,0,3,0,2,0,0,0,0,0,3,1,0,0,0,won,2-1,6.5
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,2-1,0
172,away,Yann Sommer,G,90,0,0,0,0,37,0,32,2,0,0,0,2,0,0,0,0,0,lost,2-1,6.2
172,away,Silvan Widmer,D,90,2,1,0,0,36,0,29,0,1,0,1,0,4,2,0,0,0,lost,2-1,6.7
