match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating,id,team,season
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Wales,2020
1,away,Y. Sommer,G,90,0,0,0,0,25,0,21,1,0,0,0,1,0,0,0,0,0,draw,1-1,6.7,2802.0,Switzerland,2020
1,away,N. Elvedi,D,90,0,0,0,0,67,0,63,0,3,0,4,0,6,5,0,0,0,draw,1-1,7.2,2803.0,Switzerland,2020
1,away,F. Schär,D,90,1,1,0,0,80,0,72,0,0,0,0,0,4,2,0,0,1,draw,1-1,6.6,2806.0,Switzerland,2020
1,away,M. Akanji,D,90,0,0,0,0,77,0,72,0,2,0,0,0,5,3,1,1,0,draw,1-1,7.3,5.0,Switzerland,2020
1,away,K. Mbabu,M,90,1,0,0,0,37,2,29,0,3,0,1,0,18,7,1,0,1,draw,1-1,7.2,946.0,Switzerland,2020
1,away,R. Freuler,M,90,0,0,0,0,62,2,58,0,1,0,0,0,11,6,1,1,0,draw,1-1,7,2807.0,Switzerland,2020
1,away,G. Xhaka,M,90,1,0,0,0,65,0,60,0,0,0,0,0,4,2,0,0,0,draw,1-1,6.6,1464.0,Switzerland,2020
1,away,R. Rodríguez,M,90,0,0,0,0,34,3,28,0,1,0,0,0,3,2,1,1,0,draw,1-1,7.3,1631.0,Switzerland,2020
1,away,X. Shaqiri,F,66,0,0,0,1,16,4,13,0,1,0,0,0,4,1,2,0,0,draw,1-1,7.5,307.0,Switzerland,2020
1,away,H. Seferović,F,84,4,0,0,0,23,2,14,0,0,0,0,0,5,4,1,1,0,draw,1-1,7,582.0,Switzerland,2020
1,away,B. Embolo,F,90,4,3,1,0,23,2,20,0,1,0,0,0,14,9,4,3,0,draw,1-1,8.3,421.0,Switzerland,2020
1,away,D. Zakaria,M,24,0,0,0,0,8,0,7,0,0,0,0,0,2,0,0,0,0,draw,1-1,6.2,2810.0,Switzerland,2020
1,away,M. Gavranović,F,12,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,draw,1-1,6.3,1326.0,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
1,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,1-1,0,,Switzerland,2020
2,home,K. Schmeichel,G,94,0,0,0,0,10,0,6,0,0,0,0,1,0,0,0,0,0,lost,0-1,5.7,2728.0,Denmark,2020
